STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/10/1990,0,0,0,53,25
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/11/1990,0,0,0,67,32
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/12/1990,0,0,0,51,32
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/13/1990,0,0,0,45,23
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/14/1990,0,0,0,41,26
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/15/1990,0.08,1,,29,24
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/16/1990,0,0,0,44,26
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/17/1990,0,0,0,44,29
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/18/1990,0,0,0,39,19
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/19/1990,0,0,0,59,20
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/20/1990,0,0,0,66,37
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/21/1990,0.1,0,0,55,31
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/22/1990,0.09,0,0,45,15
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/23/1990,0,0,0,20,5
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/24/1990,0,0,0,30,11
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/25/1990,0,0,0,43,16
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/26/1990,0,0,0,53,20
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/27/1990,0,0,0,53,26
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/28/1990,0,0,0,50,25
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/29/1990,0,0,0,56,27
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/30/1990,0,0,0,63,31
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,3/31/1990,0,0,0,67,37
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/1/1990,0,0,0,66,33
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/2/1990,0,0,0,57,24
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/3/1990,0,0,0,66,32
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/4/1990,0,0,0,63,35
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/5/1990,0,0,0,48,18
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/6/1990,0,0,0,48,15
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/7/1990,0,0,0,52,21
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/8/1990,0,0,0,70,30
